channel_id,video_url,video_title,upload_date,comment_id,text,likes,author,author_id,timestamp,time_text,is_pinned
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxLJ9qUFlqdkX7NuWJ4AaABAg,Welcome sol  & Bejai ❤,1,@hatyman9258,UCxDXgHFLPgX1jV-2pgHogTA,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzdneKivNwiAngafX54AaABAg,"bji tileyaleh ante eko ,.ene ende ante mehon nw mifeligew",0,@rstega4474,UCmVnht4HnGxD6UPpHDM_rUQ,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzpTjPVY02-QRXpE4Z4AaABAg,እሺ በመረገሙ እንስማማ ። ነገርግን በእንተ ምክንያት ሰዎች መረገም ውስጥ እንዳይገቡ ስትል ቅጥር የሚፈልግ ድርጅት የለህም ማለት ይሁን,2,@TsegayeAfework-k8r,UCQB11j7SepkDmQw019vFUvQ,1750204800,2 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgyGAKiWYd0H67fHzsZ4AaABAg,Meketer is ok BUT employee mindset is very very toxic. I used to struggle for long time because unless someone told me to do something I lack motivation to do it by myself.,0,@Iamexalted,UCLLR7GxFmSavBi4-KafKffQ,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxxVX7uKB_xDrFohip4AaABAg,ኢንጅነር ቢጃይ ይለያያል,2,@abduselammaeruf-x3l,UCvd_WNpgpXpJOnKPldc1kIA,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzB9MC9auajohcICOJ4AaABAg,"ውጤታማነት,, በጥረት ብቻ ይመጣል ?? ውጤታማ ሠወችስ 'የተሠጣቸው'  ስለሆኑ ብቻ ነው የቻሉት ?? በደንብ ቢወራበት ?  ቢጂአይ 'ንቁ' ሠው !! አክባሪም, አድናቂህም ነኝ:: ((አንድ ለእናቱ))",0,@SemegnewfeteneSemegnewfetene,UCf6dvK_yO1L3V7jFOCXE1Rw,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwxelNaR5Zy_Vt35pB4AaABAg,የበቆሎ ዱቄት ማምረቻ ማሽን እፈልጋለው ማምረት ከቻልክ ቢያንስ በ24ሰዓት 300ኩንታል የሚፈጭ?,0,@Belete-m4y,UCQs_hWlcBb_2gum3CJETy3g,1750204800,2 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzfJyJ8gEW8QE5QpS94AaABAg,"I see that your profession as a teacher is casting a shadow on your interview skills please please!!  ""Hey, I loved the guests you had on, they were really interesting! But honestly, it felt like you were cutting them off mid-answer and inserting your own opinions. Would love it if you let them finish their thoughts before sharing yours. Keeps the conversation flowing better and respects the guest's perspective.""  Or a bit more direct:  ""Great guests, but please let them finish answering before sharing your thoughts. It'd make for a more respectful and engaging conversation.""",1,@ankojos,UCQq-dQwMbGoTjS3sIRAdKRA,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgyJNL0K_Vj57ZFRIrF4AaABAg,Sela yena mirt sew hula Lena andegna,1,@YemiMulu,UCOyU_Q9ELnJ0-v5DrwZ0pUw,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgyEOiVnwYT_25P8Z094AaABAg,መልካም ውይይት ነው። ወንድሜ ቤጃይ ግን ስለ ትዳር ስታወራ አይቼ አላውቅም። እኔ ሳልሰማው ቀርቼ ይሆን እንጃ ግን በልጅነት ልጅ ወልደህ ዘርህን ብታስቀጥል ደስ ይለናል። በተረፈ be positive always and keep your excellent work forward!,1,@Business_Abex,UCiEcY9K_clYJ3-7Wg23ps7Q,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgyEOiVnwYT_25P8Z094AaABAg.AIp0bxQQ4OJAIzVBuLPJZs,@Business_Abex  አንድ ወንድ ልጅ አለው ትዳር ግን የለውም,0,@fikir8364,UC4l65sCFgDQdm9GGDCsaibw,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwSoHUAvqBFwZyDSn54AaABAg,Mulun Bikereb yeteshale nber......... Sament muku😢😮😮,0,@riyadeede7439,UCAbFY3p1nSwFYynloe_Gr1Q,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwFV1lvbT_W3r80uXl4AaABAg,Philosophy 101.,1,@alemtesfa1427,UCblqTrk96yCyPVsDsDWiGaw,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugz0Zibpu2LX4oVq04F4AaABAg,የካሜራ አቀራረጿ ግን ..........??,0,@ganodermabekele8180,UCWUerZEpT8uv-oXOyPuY0aQ,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxST1SuEmRAAo3X3t54AaABAg,ahunm aybekam abatia,1,@adu-yemariyam,UCew0UlNnTZz1os3lIa4o1Sw,1750464000,11 days ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxShqe4PLeI6NX77H14AaABAg,አክባሪ አድናቂህ ነኝ,1,@sisaytefera7778,UC5AABXXXg2AwsWolIJOq5oA,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugx9yknlSgO_QJchQK54AaABAg,ቡና እየጠጣሁ ነው እየተከታተልኩ ያለሁት,0,@ErmiasTariku-i2v,UCNuFWw-NfvAWyQxPLc0ZrxA,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwvsKK645Xd5i4pStd4AaABAg,Wifi sol des blognal equanimity Dena metal hulem kantegn negn hulem hasabh degfew neber,0,@AbebaTewolde-k8d,UC7AbgTVz3738DR_ORpmBebQ,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxptXOqhKostZ4LxXR4AaABAg,ኢንተርፕሪነርሺፕ የሚለውን ኮንሰፕት ዶር አቡሽ የኢንተርፕሪነርሺፕ ሀሁ በሚለው መፅሐፍ ለይ በደንብ ገልፆታል  ያልዘልኩበት ግን መረጃው ነበረኝ መቀጠር ነፃ ሰው አያደርግም ማንነት ያሰጠል አንድ ቢጃይ ባለው ምስማማው መጀመሪያ ተፍ ተፍ በሉ አላፍትነት ከመውሰዳቹ በፊት,1,@tsinatsileshi-zl1ws,UCBU25gQFKAZRVy3zLxxM86Q,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzFVuhf1e7CPdZh-EB4AaABAg,2 yemwodachew enquwoch bandlay!!!!!,1,@Irrigate_minds,UCKONk-_tEq3Zfybq7Uw87sg,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugy0zA73ZKndsMMQ7yh4AaABAg,ሰለሞንሹምየ  አማ-English ሳትናገር ሀሳብህን መግለጥ የማትችል አትችልም? የዝግጅቱ የዘወትር ተከታታይህ ንኝ ::I don’t think you can do it with out mix’em up ! I would like to watch at least one program  plain amharic ! If so show me ! I challenge you!!!!!,0,@deebbelaataye4372,UClEgInZrO4MnevYV2T7cCrA,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgzSJI1tbpQufgEepiJ4AaABAg,የልቤን ነው ያወራው እንጁ,0,@zerihunwadajo9620,UCrpYKVA6obCXbgfyQIiLaTA,1748995200,4 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugy6YMTTd57sEBymHkN4AaABAg,"It's easier to say it on medias...... Small business got a high failurity rate; 1 out of doesn't survive after 5 years, 95% percent of the remaining 1% doesn't survive the next five years and add the economical, political and social factors on top of it.",0,@Naga-T-1234,UC1EbwVkBrclqyQHL4e8q_ww,1750723200,8 days ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgwGLm-4tbqLaBF84vh4AaABAg,I think  he have an employees 😅,0,@WendyifrawMekonen,UCEsD8hNYijsu5tcrUJz0OiA,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgyqbPTsFYOFzRKqBdh4AaABAg,https://youtu.be/qLLtmY_LtyY?si=pOAs8FDLeK8DMrA2,0,@muslimbrootherhood,UCCMwHlXO3BFvYPgh70bpzuA,1748822400,1 month ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,Ugysyd9tmeMwVLIR6Dh4AaABAg,❤❤❤,0,@MesuFel,UCFZxeCn0kAbprhaYIujiSKg,1749600000,3 weeks ago,False
GEBEYANU,https://www.youtube.com/watch?v=a6Mro0FGo3Y,#ethiopia ሰው ራቁቱን መሄድ ያለበት #habesha,N/A,UgxSzU2wXc_gY9uV44Z4AaABAg,❤❤❤,0,@kumnegerdegu9162,UClmDAfo0zFWZzPAg44eZcgg,1749600000,3 weeks ago,False
