video_id,video_title,channel_url,comment_id,text,author,likes,timestamp
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgyyQx4l7D2ed2V8PC14AaABAg","እኛ ማሸነፍ እንጂ መሸነፍ ወጋችን አይደለም💪💪💪💪💪","@AbezuHuseen",9,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgyyQx4l7D2ed2V8PC14AaABAg.AKRxU7vXVitAKTO9hacJZm","ዝም በይ ሙርኮኛ, 🇪🇬🇪🇬🇪🇬❤️🇪🇷🇪🇷🇪🇷🇪🇷","@ነፋሲት1991",1,"1752256800"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgwVQS1SRx0LNDwZ6UF4AaABAg","السدسدنا 🇪🇹 💙 💐","@AbuMalike-w6f",3,"1752206400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgzM2ydvP-b7KDl5MfN4AaABAg","💚💛❤️የተስፋይቷ ምድር ሰንደቅ💚💛❤️💚💛❤️የጊዜ ጉዳይ ነዉ, የሰዉ ሚስት ወይም ባል ዉሽማ ብቻ ነዉ መሆን የሚችለዉ. አሰብም ሁሉም ወደባለቤቱ ይመለሳል💚💛❤️","@robie5210",4,"1752217200"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgzM2ydvP-b7KDl5MfN4AaABAg.AKS8xWxCR4eAKSUrWCWD3T","እና እስካሁን የናትህን እምስ ጭገር እየላጨህ ነው? እናትህን ልብዳልህና አሰብን ልስጥህ","@JemalabduMohamed",1,"1752228000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugy7LwrmC3DV7Q0a8qN4AaABAg","Feta Daily News  ተከታዮች እንዴት ዋላችሁ","@ayanoAbraham",7,"1752206400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgxCOOJduoBM89sg7Fx4AaABAg","ሠላምለሀገራችን","@ሙሉጌታ-ቀ9ዠ",1,"1752213600"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugy1gm0vG4FrvPQGDg54AaABAg","ethiopia💪❤","@jokermhidi",1,"1752213600"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgxkNDLKjcndjnndIMR4AaABAg","ወድ የኢስላም ልጆች በሮፍይሌን ተጭናቹ ኑ የነቢያችንን ውብ ሀዲሶች እንማማር አሆራችንን እናሰታወሰ ወዴች❤🎉😢","@Tybatube",5,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgxkNDLKjcndjnndIMR4AaABAg.AKRtU5fmA2TAKSOWvqNSb1","❤❤❤","@ሉባባአሰን-ጘ2ሐ",0,"1752224400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgxkNDLKjcndjnndIMR4AaABAg.AKRtU5fmA2TAKSOYCh_dV-","🎉🎉🎉","@ሉባባአሰን-ጘ2ሐ",0,"1752224400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgwNfuF5SV2GonVK4DJ4AaABAg","Nure sle welegaw wgia   zegib 🙏","@FitseTila12",0,"1752246000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgxrcPqXj3xA4iyxS994AaABAg","ድርድር  ድርድር  ድርድር  ሽህ ዓመት ድርድር","@NadiHemmat",1,"1752213600"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugzc-LW2JHUduSCtNNp4AaABAg","ዜና አታብዙ ዝባዝኬ በየሰዓቱ","@ብስሬው",0,"1752206400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgySXjba4yV-5zCIVaB4AaABAg","Welcome bro Good 👍 Job","@astechtube",0,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgzP8GOdWm9tMvHD8_54AaABAg","❤❤❤❤❤አፍሪካዊያን በአፍሪካዊነታቸው መኩራት አለበቸው ። ግብፅ በምንም መልኩ ከኢትዮጵያ ጋር መገዳደር አልቻለችም ችላም አታውቅም ምን ጊዜም አትችልም አትሞክረውም ።🎉🎉🎉🎉🎉","@MHMETHIOPIA",0,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugyus9oZvJA_bOqkYwl4AaABAg","በሞት መቀጣት ነበረባቸው።","@AbrahaBerhe-g9z",1,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugzb4UVo_db9BoxZCMR4AaABAg","መልካም ዜና ነው ደስ ይላል","@JemalMohammed-w5t",0,"1752206400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugy2vj7Cn9NnVEuJ7ZZ4AaABAg","سد النهضة الإثيوبي خط أحمر فلاتقرب 🌄🇪🇹🇪🇹🇪🇹💙💙💐💐","@AbuMalike-w6f",0,"1752206400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugx1MtSYl5ipXbfSAEh4AaABAg","ፍርድ ቤት እንዳት ገቡ የተከላከላችሁ ወላጅች እግዚአብሄር ፅናቱን ይስጣችሁ ነፍሷን ይማርልን  ኣይ ህግ????","@misikirzewgeketaw5501",0,"1752224400"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugwpo9f8rAAIPAEdMC54AaABAg","ግብፅ ስጀመር ተሸንፋ እንጂ አሸንፍ አታቅም።","@HabteBoy-y9b",1,"1752210000"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugwpo9f8rAAIPAEdMC54AaABAg.AKRv7IEr_WSAKSEd2pKExx","በማን በማን ነው የተሸነፈችው","@peacelove6150",0,"1752220800"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","UgyQFytfwwYzukHJmEN4AaABAg","አብይና ግብፅ ወዳጅ መሆናቼውን ስንቶቻችን እንረዳ ይሆን?","@werkukasa9021",0,"1752249600"
"j8U5EDqPmM8","Ethiopia - ከኢትዮጵያ ጋር የተፋጠጠው የግብፅ ጦር ሸሸ፣ ኢትዮጵያና አሜሪካ ሊደራደሩ ነው፣ አነጋጋሪው የመቀሌ ፍርድ፣ ኢትዮጵያውያኑሞት ተፈረደባቸው","https://www.youtube.com/@fetadailynews1","Ugya8TvzW5DGs9Mu_Ih4AaABAg","ደግ አደረከች😅😅","@ggssggss8656",0,"1752224400"
